start_node,end_node,length
6159631864,6159631865,145.683160221313
6159631865,6159632167,30.006036911840123
6159631865,6159604286,105.08062776302799
6159631865,6159631864,145.683160221313
6159631871,6159632088,247.22513975819612
6159632088,6159631807,216.81754823564708
6159632088,6159631871,247.2251397581961
6159632088,6159632101,85.84141232555862
6159632094,6159632096,29.924144238468465
6159632096,6159632094,29.924144238468465
6159632096,6159632101,104.93718365168058
6159632096,6159632163,207.97324443313985
6159632101,6159632088,85.84141232555861
6159632101,6159632096,104.9371836516806
6159632101,6159632107,125.59609669265357
6159632107,6159604286,50.2922561108091
6159632107,6159603977,318.2172791953328
6159632107,6159632101,125.59609669265356
6159632119,6163848200,29.381323933123284
6159632119,6163848183,48.04519365213908
6159632119,4321931566,94.09356175551522
6159632123,6159631795,34.35736274262671
6159632123,7655155695,95.0556209163486
6159632123,6159632125,62.86026011241502
6159632124,6159632130,33.3554975568299
6159632124,6159631795,29.1423774752386
6159632124,7655155695,120.97981081442761
6159632125,6159632130,111.64597357926672
6159632125,6159632131,189.9860364538706
6159632125,6159632123,62.86026011241502
6159632130,6159632125,111.64597357926672
6159632130,6159632124,33.3554975568299
6159632130,6159632131,32.44520880591894
6159632131,6159631798,9.910562794205921
6159632131,6159632130,32.44520880591894
6159632131,6159632134,68.57470523459823
6159632131,6159632125,189.9860364538706
6159632134,4321931701,70.14657877031856
6159632134,6159632131,68.57470523459823
6159632134,676493862,330.36595322432674
6159632135,4321931693,144.31059000838175
6159632142,6159632155,421.3923310223942
6159632155,4321931693,128.009583030507
6159632155,6159632167,199.43177013185738
6159632155,6159632142,421.39233102239416
6159632157,6159632163,200.0787893467381
6159632163,6159632157,200.07878934673806
6159632163,6159632167,134.02526301795854
6159632163,6159632096,207.9732444331398
6159632167,6159631865,30.006036911840123
6159632167,6159632155,199.43177013185743
6159632167,6159632163,134.0252630179585
6159818424,6159818454,32.052274191587834
6159818424,6159818457,30.31364380840424
6159818424,6159818458,41.87569409875244
6159818424,6159818459,59.77073482632363
6159818453,6159818458,61.82538575495611
6159818453,3445785209,102.05316484517489
6159818453,6159818456,87.15182560132672
6159818454,6159818424,32.052274191587834
6159818454,6159818459,91.16401601508313
6159818454,6159818461,41.283841724715984
6159818456,6159818457,42.4135896133463
6159818456,6159818458,29.653076310354727
6159818456,6159818462,58.007463301389876
6159818456,6159818453,87.15182560132672
6159818457,6159818424,30.31364380840424
6159818457,6159818456,42.4135896133463
6159818457,6159818459,87.0416335472033
6159818458,6159818453,61.82538575495611
6159818458,6159818456,29.653076310354727
6159818458,6159818424,41.87569409875244
6159818458,6159818461,31.772015370924773
6159818459,6159818424,59.77073482632363
6159818459,6159818457,87.0416335472033
6159818459,6159818454,91.16401601508312
6159818461,6159818454,41.283841724715984
6159818461,6165219308,104.04538670690236
6159818461,6159818458,31.772015370924773
6159818462,6159818456,58.007463301389876
6162796462,6162796461,30.30026007049291
6162796462,6206759236,62.64135951355115
6162796462,6162796790,1091.8574344181256
6163038416,6159086137,1626.4457452053375
6163038416,6155824651,831.5619178547229
6163038416,6166464207,259.25575453652044
6163038429,6163038440,99.82405767916549
6163038440,6163038429,99.82405767916549
6163038440,6163038625,301.8664584019257
6163038440,6155824651,115.17964386876224
6163038625,6163038440,301.86645840192574
6163050035,6257400079,711.7195656259632
6163050035,6159206315,1369.3544328785601
6163050035,6162909518,835.7570501248158
6163186798,6163187202,256.74112604556467
6163187202,6163186798,256.74112604556467
6163187202,6165299641,533.2403087889486
6163187202,6163187391,1042.6341957483867
6163187284,6163187284,169.98511268496048
6163187284,6163187284,169.98511268496046
6163187284,6163187391,148.96960926990508
6163187391,6163187284,148.96960926990508
6163187391,7562000058,1922.6149674781484
6163187391,6163187202,1042.6341957483867
6163631890,7735596896,240.34509363422066
6163631890,6163631900,587.540044216757
6163631890,7735596894,162.09391793640566
6163631900,6163631890,587.540044216757
6163631900,6163631902,113.67945362083762
6163631900,6162796461,1961.5446367110123
6163631902,6163631900,113.67945362083762
6163631902,6163631915,735.3520841540759
6163631902,6163631735,136.362335197815
6163631915,6163631902,735.3520841540759
6163631915,6206759245,441.0986218641415
6163631915,6245947195,618.3719380452976
6163660374,7604620952,922.6294077507946
6163660374,6167488683,700.4910212565733
6163660374,7604620964,57.40735241080265
6163660557,7604620964,1711.1771906789716
6163660557,6164205785,1050.0828049390248
6163660557,6164293809,187.0825075524743
6163828280,6167535298,838.7477323400271
6163828280,6164293824,341.66156714301076
6163828280,6240898820,1206.0090323716101
6163848160,4321931703,12.915100351031406
6163848160,4321931583,109.35404372520549
6163848160,7662968584,218.30486626191222
6163848161,4321931731,143.3388572624665
6163848172,6163848173,42.10355409323599
6163848173,4321931724,13.751291479926081
