node_id,latitude,longitude
6168480392,-5.5305021,105.4496838
6168480393,-5.5284625,105.450747
6168480398,-5.529541,105.4489512
6168480404,-5.5315161,105.4473058
6168480405,-5.5316288,105.4477859
6168480410,-5.5323299,105.4462384
6168480417,-5.5319598,105.4489823
6168480418,-5.5328983,105.4484131
6168480420,-5.5320452,105.4481506
6168480422,-5.5315887,105.4478489
6168480430,-5.5330643,105.4510262
6168480431,-5.5331425,105.4511493
6168480438,-5.5307684,105.4485446
6168480443,-5.5317996,105.4490143
6168480449,-5.5332599,105.4473809
6168480451,-5.533834,105.4462996
6168480452,-5.5456294,105.4455329
6168480479,-5.5347683,105.4466754
6168480483,-5.5324152,105.4459229
6168480588,-5.5457137,105.4567316
6168480589,-5.5459497,105.4574698
6168480590,-5.5454471,105.4569026
6168480608,-5.5315727,105.4558298
6168480610,-5.5317262,105.4539509
6172085581,-5.5956315,105.4274263
6172981391,-5.5574105,105.44677
6177515550,-5.5418857,105.365611
6177519673,-5.5419238,105.3661883
6177524779,-5.5492874,105.3752978
6177524784,-5.5479218,105.3751087
6177527087,-5.5485505,105.3747245
6177731578,-5.5363735,105.36245
6177731593,-5.5382319,105.3644791
6178075365,-5.6153278,105.4668979
6178075375,-5.6136787,105.467641
6178075381,-5.6137605,105.466702
6191386529,-5.5996306,105.4413995
6191386595,-5.614168,105.4373762
6191386646,-5.6090268,105.4287757
6191386669,-5.6058476,105.4289782
6191409684,-5.60427,105.44851
6191420507,-5.6036827,105.4505754
6191420518,-5.6086665,105.4492155
6191420529,-5.6059917,105.4495534
6191420533,-5.6050308,105.4502481
6191420540,-5.5960723,105.4537457
6191420548,-5.6043608,105.4592523
6191420556,-5.6031422,105.4525213
6191420565,-5.6054912,105.4524703
6191420592,-5.6065216,105.4537994
6191420612,-5.6113919,105.4503339
6191628464,-5.5622176,105.4657137
6191628808,-5.5542702,105.4519393
6191628815,-5.5539215,105.4502186
6191630334,-5.5593692,105.4471971
6191630369,-5.5572428,105.448793
6191688249,-5.5695266,105.4394835
6191847927,-5.5468927,105.4243755
6191847943,-5.5455262,105.4270947
6191847946,-5.5478898,105.4266527
6191847948,-5.5473652,105.4267788
6191847955,-5.547317,105.4267208
